id,question,code,updated_code,difficulty_level
3,Write a python function to identify non-prime numbers.,"import math
def is_not_prime(n):
    result = False
    for i in range(2,int(math.sqrt(n)) + 1):
        if n % i == 0:
            result = True
    return result","import math
def Func1(var1):
    var2 = False
    for i1 in range(2, int(math.sqrt(var1)) + 1):
        if var1 % i1 == 0:
            var2 = True
    return var2
",easy
30,Write a python function to count all the substrings starting and ending with same characters.,"def check_Equality(s): 
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    for i in range(n): 
        for j in range(1,n-i+1):  
            if (check_Equality(s[i:i+j])): 
                result+=1; 
    return result; ","def Func1(str1): 
    return (ord(str1[0]) == ord(str1[len(str1) - 1]))

def Func2(str2): 
    var1 = 0
    CONST1 = len(str2)
    for i1 in range(CONST1): 
        for i2 in range(1, CONST1 - i1 + 1):  
            if Func1(str2[i1:i2 + i1]): 
                var1 += 1
    return var1
",easy
32,Write a python function to find the largest prime factor of a given number.,"import math 
def max_Prime_Factors (n): 
    maxPrime = -1 
    while n%2 == 0: 
        maxPrime = 2
        n >>= 1    
    for i in range(3,int(math.sqrt(n))+1,2): 
        while n % i == 0: 
            maxPrime = i 
            n = n / i 
    if n > 2: 
        maxPrime = n  
    return int(maxPrime)","import math 
def Func1 (var1): 
    var2 = -1 
    while var1 % CONST1 == 0: 
        var2 = CONST1
        var1 >>= 1    
    for i1 in range(CONST2, int(math.sqrt(var1)) + CONST3, CONST4): 
        while var1 % i1 == 0: 
            var2 = i1 
            var1 = var1 / i1 
    if var1 > CONST5: 
        var2 = var1  
    return int(var2)
",easy
54,Write a function to sort the given array by using counting sort.,"def counting_sort(my_list):
    max_value = 0
    for i in range(len(my_list)):
        if my_list[i] > max_value:
            max_value = my_list[i]
    buckets = [0] * (max_value + 1)
    for i in my_list:
        buckets[i] += 1
    i = 0
    for j in range(max_value + 1):
         for a in range(buckets[j]):
             my_list[i] = j
             i += 1
    return my_list","def Func1(list1):
    var1 = 0
    for i1 in range(len(list1)):
        if list1[i1] > var1:
            var1 = list1[i1]
    arr1 = [0] * (var1 + 1)
    for var2 in list1:
        arr1[var2] += 1
    i2 = 0
    for i3 in range(var1 + 1):
        for i4 in range(arr1[i3]):
            list1[i2] = i3
            i2 += 1
    return list1
",easy
56,Write a python function to check if a given number is one less than twice its reverse.,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ","def Func1(var1):
    var2 = 0
    while (var1 > 0):
        var2 = (var2 * 10 + var1 % 10)
        var1 = var1 // 10
    return var2

def Func2(var3):
    return (2 * Func1(var3) == var3 + 1)
",easy
61,Write a python function to count number of substrings with the sum of digits equal to their length.,"from collections import defaultdict
def count_Substrings(s,n):
    count,sum = 0,0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count","from collections import defaultdict

def Func1(str1, CONST1):
    var1, var2 = 0, 0
    mp = defaultdict(lambda: 0)
    mp[0] += 1
    for i1 in range(CONST1):
        var2 += ord(str1[i1]) - ord('0')
        var1 += mp[var2 - (i1 + 1)]
        mp[var2 - (i1 + 1)] += 1
    return var1
",easy
63,Write a function to find the maximum difference between available pairs in the given tuple list.,"def max_difference(test_list):
  temp = [abs(b - a) for a, b in test_list]
  res = max(temp)
  return (res) ","def Func1(list1):
    list2 = [abs(var2 - var1) for var1, var2 in list1]
    var3 = max(list2)
    return var3
",easy
75,Write a function to find tuples which have all elements divisible by k from the given list of tuples.,"def find_tuples(test_list, K):
  res = [sub for sub in test_list if all(ele % K == 0 for ele in sub)]
  return (str(res)) ","def Func1(list1, CONST1):
    list2 = [arr1 for arr1 in list1 if all(var1 % CONST1 == 0 for var1 in arr1)]
    return (str(list2))
",easy
91,Write a function to check if a substring is present in a given list of string values.,"def find_substring(str1, sub_str):
   if any(sub_str in s for s in str1):
       return True
   return False","def Func1(str1, str2):
    if any(str2 in str3 for str3 in str1):
        return True
    return False
",easy
96,Write a python function to find the number of divisors of a given integer.,"def divisor(n):
  for i in range(n):
    x = len([i for i in range(1,n+1) if not n % i])
  return x","def Func1(var1):
    for i1 in range(var1):
        var2 = len([i2 for i2 in range(1, var1 + 1) if not var1 % i2])
    return var2
",easy
